x-axis,I_B2,I_B1,VG_B1,VG_B2
second,Ampere,Ampere,Volt,Volt
+9.45000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+9.50000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+9.55000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+80.77891544E-03
+9.60000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+9.65000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+9.70000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+9.75000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+9.80000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+9.85000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+80.77891544E-03
+9.90000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+9.95000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+10.00000E-06,-65.32657892E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+10.05000E-06,-65.32657892E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+10.10000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+10.15000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+10.20000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+10.25000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+10.30000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+60.67841314E-03
+10.35000E-06,-65.32657892E-03,-105.52758351E-03,+14.89447241649E+00,+80.77891544E-03
+10.40000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+10.45000E-06,-185.92959270E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+10.50000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+10.55000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+10.60000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+10.65000E-06,-145.72858810E-03,-105.52758351E-03,+14.89447241649E+00,+60.67841314E-03
+10.70000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+10.75000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+10.80000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+10.85000E-06,-145.72858810E-03,-105.52758351E-03,+14.89447241649E+00,+60.67841314E-03
+10.90000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+10.95000E-06,-145.72858811E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+11.00000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+11.05000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+11.10000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+11.15000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+11.20000E-06,-145.72858810E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+11.25000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+11.30000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+11.35000E-06,-105.52758351E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+11.40000E-06,-105.52758351E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+11.45000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
+11.50000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+60.67841314E-03
+11.55000E-06,-145.72858810E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+11.60000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+11.65000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+80.77891544E-03
+11.70000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+11.75000E-06,-105.52758351E-03,+15.07543027E-03,+14.89447241649E+00,+40.57791084E-03
+11.80000E-06,-145.72858811E-03,-65.32657892E-03,+14.89447241649E+00,+40.57791084E-03
+11.85000E-06,-65.32657892E-03,-25.12557432E-03,+14.89447241649E+00,+40.57791084E-03
+11.90000E-06,-145.72858810E-03,-65.32657892E-03,+14.89447241649E+00,+60.67841314E-03
