x-axis,I_B2,I_B1,VG_B1,VG_B2
second,Ampere,Ampere,Volt,Volt
-3.0400E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3081658E+00
-3.0300E-03,-145.7286E-03,-27.6381E-03,+14.8944724E+00,+3.3182161E+00
-3.0200E-03,-82.9145E-03,-65.3266E-03,+14.8944724E+00,+3.3056533E+00
-3.0100E-03,-143.2160E-03,+12.5629E-03,+14.8944724E+00,+3.2968593E+00
-3.0000E-03,-65.3266E-03,-7.5376E-03,+14.8944724E+00,+3.3081658E+00
-2.9900E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.3182161E+00
-2.9800E-03,-65.3266E-03,-2.5125E-03,+14.8944724E+00,+3.2968593E+00
-2.9700E-03,-221.1055E-03,-62.8140E-03,+14.8944724E+00,+3.3358040E+00
-2.9600E-03,-145.7286E-03,-42.7135E-03,+14.8944724E+00,+3.3144472E+00
-2.9500E-03,-145.7286E-03,-103.0150E-03,+14.8944724E+00,+3.2968593E+00
-2.9400E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
-2.9300E-03,-148.2412E-03,-140.7035E-03,+14.8944724E+00,+3.3370603E+00
-2.9200E-03,-65.3266E-03,-42.7135E-03,+14.8944724E+00,+3.3257538E+00
-2.9100E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-2.9000E-03,-128.1406E-03,-20.1004E-03,+14.8944724E+00,+3.3056533E+00
-2.8900E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-2.8800E-03,-168.3417E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-2.8700E-03,-108.0401E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-2.8600E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.3056533E+00
-2.8500E-03,-145.7286E-03,+12.5629E-03,+14.8944724E+00,+3.2981156E+00
-2.8400E-03,-145.7286E-03,-42.7135E-03,+14.8944724E+00,+3.3370603E+00
-2.8300E-03,-145.7286E-03,-70.3517E-03,+14.8944724E+00,+3.2968593E+00
-2.8200E-03,-145.7286E-03,-2.5125E-03,+14.8944724E+00,+3.2968593E+00
-2.8100E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.2981156E+00
-2.8000E-03,-87.9396E-03,-42.7135E-03,+14.8944724E+00,+3.3081658E+00
-2.7900E-03,-103.0150E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-2.7800E-03,-128.1406E-03,-65.3266E-03,+14.8944724E+00,+3.3684673E+00
-2.7700E-03,-67.8391E-03,+15.0754E-03,+14.8944724E+00,+3.2981156E+00
-2.7600E-03,-203.5175E-03,-42.7135E-03,+14.8944724E+00,+3.3370603E+00
-2.7500E-03,-140.7035E-03,-27.6381E-03,+14.8944724E+00,+3.2968593E+00
-2.7400E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3282663E+00
-2.7300E-03,-145.7286E-03,+12.5629E-03,+14.8944724E+00,+3.2981156E+00
-2.7200E-03,-145.7286E-03,-7.5376E-03,+14.8944724E+00,+3.3370603E+00
-2.7100E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-2.7000E-03,-128.1406E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-2.6900E-03,-143.2160E-03,-67.8391E-03,+14.8944724E+00,+3.2968593E+00
-2.6800E-03,-145.7286E-03,-7.5376E-03,+14.8944724E+00,+3.2792713E+00
-2.6700E-03,-103.0150E-03,+15.0754E-03,+14.8944724E+00,+3.3157035E+00
-2.6600E-03,-128.1406E-03,+15.0754E-03,+14.8944724E+00,+3.3056533E+00
-2.6500E-03,-145.7286E-03,+12.5629E-03,+14.8944724E+00,+3.2981156E+00
-2.6400E-03,-65.3266E-03,-42.7135E-03,+14.8944724E+00,+3.3370603E+00
-2.6300E-03,-65.3266E-03,-22.6130E-03,+14.8944724E+00,+3.3182161E+00
-2.6200E-03,-163.3165E-03,-47.7386E-03,+14.8944724E+00,+3.2968593E+00
-2.6100E-03,-223.6180E-03,-62.8140E-03,+14.8944724E+00,+3.3358040E+00
-2.6000E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3257538E+00
-2.5900E-03,-65.3266E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-2.5800E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3370603E+00
-2.5700E-03,-65.3266E-03,+12.5629E-03,+14.8944724E+00,+3.2968593E+00
-2.5600E-03,-168.3417E-03,-42.7135E-03,+14.8944724E+00,+3.3257538E+00
-2.5500E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
-2.5400E-03,-145.7286E-03,-82.9145E-03,+14.8944724E+00,+3.3056533E+00
-2.5300E-03,-145.7286E-03,+12.5629E-03,+14.8944724E+00,+3.3370603E+00
-2.5200E-03,-145.7286E-03,-65.3266E-03,+14.8944724E+00,+3.3257538E+00
-2.5100E-03,-108.0401E-03,-27.6381E-03,+14.8944724E+00,+3.2968593E+00
-2.5000E-03,-145.7286E-03,-47.7386E-03,+14.8944724E+00,+3.3370603E+00
-2.4900E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
-2.4800E-03,-123.1155E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-2.4700E-03,-65.3266E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-2.4600E-03,-145.7286E-03,-47.7386E-03,+14.8944724E+00,+3.3282663E+00
-2.4500E-03,-145.7286E-03,+12.5629E-03,+14.8944724E+00,+3.3370603E+00
-2.4400E-03,-123.1155E-03,-87.9396E-03,+14.8944724E+00,+3.2968593E+00
-2.4300E-03,-65.3266E-03,-60.3015E-03,+14.8944724E+00,+3.3370603E+00
-2.4200E-03,-128.1406E-03,-65.3266E-03,+14.8944724E+00,+3.3056533E+00
-2.4100E-03,-67.8391E-03,-65.3266E-03,+14.8944724E+00,+3.3358040E+00
-2.4000E-03,-123.1155E-03,-42.7135E-03,+14.8944724E+00,+3.3081658E+00
-2.3900E-03,-103.0150E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-2.3800E-03,-128.1406E-03,-65.3266E-03,+14.8944724E+00,+3.2968593E+00
-2.3700E-03,-143.2160E-03,-65.3266E-03,+14.8944724E+00,+3.2981156E+00
-2.3600E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.2968593E+00
-2.3500E-03,-145.7286E-03,-27.6381E-03,+14.8944724E+00,+3.2968593E+00
-2.3400E-03,-145.7286E-03,-2.5125E-03,+14.8944724E+00,+3.2968593E+00
-2.3300E-03,-145.7286E-03,+15.0754E-03,+14.8944724E+00,+3.3358040E+00
-2.3200E-03,-123.1155E-03,-123.1155E-03,+14.8944724E+00,+3.2968593E+00
-2.3100E-03,-103.0150E-03,-65.3266E-03,+14.8944724E+00,+3.3182161E+00
